gene,snp,snippet
ABCA1,Rs1800977,polymorphism
ABCA1,Rs1800977,therothrombotic cerebral infarction
ABCA12,Rs28940568,congenital Lamellar ichthyosis
ABCA12,Rs28940271,skin condition
ABCA12,Rs28940271,congenital Lamellar ichthyosis
ABCA12,Rs28940270,skin condition
ABCA12,Rs28940568,skin condition
ABCA12,Rs28940269,skin condition
ABCA12,Rs28940269,congenital Lamellar ichthyosis
ABCA12,Rs28940268,skin condition
ABCA12,Rs28940268,congenital Lamellar ichthyosis
ABCA12,Rs28940270,congenital Lamellar ichthyosis
ABCA7,Rs200538373,Alzheimer's disease
ABCA7,Rs200538373,late-onset Alzheimer's disease 
ABCA7,Rs3764650,Alzheimer's disease
ABCB4,Rs58238559,atrial fibrillation/flutter
ABCC2,Rs717620,intrahepatic cholestasis
ABCC2,Rs717620,nonalcoholic fatty liver disease
ABCD1,Rs398123109,adrenoleukodystrophy
ABCD1,Rs398123109,adrenoleukodystrophy
ABCG2,Rs3114018,haplotype blocks
ABCG2,Rs3114018,gout
ABCG2,Rs3114018,gout
ABCG2,Rs1481012,colorectal cancer
ABCG2,Rs2231142,heterozygotes
ABCG2,Rs2231142,Atherosclerosis Risk
ABO,Rs41302905,may influence ABO blood group see gs129ABO Blood Type
ABO,Rs7853989,ABO Blood Type
ABO,Rs8176743,ABO Blood Type
ABO,Rs8176747,ABO Blood Type
ABP1,Rs2052129,Caucasian
ABP1,Rs2052129,hypersensitivity to ibuprofen
ACADM,I5003116,Dehydrogenase Deficiency
ACE,Rs4293,Alzheimer's disease.
ACE,Rs4343,diabetic nephropathy
ACTN3,Rs1815739,explosive leg muscle power
ACTN3,Rs1815739,endurance ability
ACTN3,Rs1815739, power/sprint performance
ACTN3,Rs1815739,polymorphism
ACTN3,Rs1815739,performance phenotypes i
ADA,Rs121908738,adenosine deaminase deficiency.
ADA,Rs121908739,adenosine deaminase deficiency.
ADA,Rs121908736,adenosine deaminase deficiency.
ADAM10,I6006818,Alzheimer's disease assocation
ADAM10,Rs61751103,Alzheimer's disease
ADAM33,Rs574174,COPD
ADAM33,Rs3918396,chronic obstructive pulmonary disease (COPD)
ADAM33,Rs574174,asthma and bronchial hyperresponsiveness
ADAM33,Rs574174,type 1 diabetes
ADAM33,Rs574174,immune-mediated diseases
ADAM33,Rs574174,asthma
ADAM33,Rs574174,psoriasis
ADCY5,Rs796065306,facial myokymia
ADCY5,Rs796065306,autosomal dominant familial dyskinesia
ADCY5,Rs796065306,facial myokymia
ADCY5,Rs796065306,dyskinesia disorder
ADCY5,Rs796065306,dyskinesia disorder
ADIPOQ,Rs17300539,increased risk of insulin resistance
AGT,Rs3889728,"pre-eclampsia,"
AGT,Rs3889728,pre-eclampsia
AKT1,Rs3730358,polymorphism
AKT1,Rs2494732,once-a-month cannabis users
AKT1,Rs3730358,non-small cell lung cancer.
AKT1,Rs3730358,glioblastoma
AKT1,Rs3730358,Korean population
AKT1,Rs3730358,Taiwanese population
AKT1,Rs2494732,"drug-related psychoses,"
AKT1,Rs2494732,psychotic disorde
AKT1,Rs2494732,mind-altering symptoms
AKT1,Rs2494732,cannabis-related psychosis
AKT1,Rs2494732,", schizophrenia"
AKT1,Rs3730358,schizophrenia
ALB,Rs78340021,analbuminemia
ALB,Rs78340021,Novel nonsense mutation
ALB,Rs79744198,abnormality of albumin
ALDOB,I5012665,Hereditary fructose intolerancers
ALOX5AP,Rs9315050,myocardial infarction
ALOX5AP,Rs17222814,myocardial infarction or ischemic stroke
ALOX5AP,Rs17222814,bifurcation intima-media thickness
ALOX5AP,Rs17222814,alcohol consumption
ALOX5AP,Rs4076128,breast cancer
ALOX5AP,Rs9315050,ischemic stroke
ALPL,I6006926,hypophosphatasia
ALPL,I6006953,hypophosphatasia
ALPL,I6006897,rare/minor allele
ALPL,I6006897,hypophosphatasia
ALPL,I6006888,hypophosphatasia
ALPL,I5900451,hypophosphatasia.
ALPL,I5002773,hypophosphatasia
ALPL,I5002765,hypophosphatasia
ANG,Rs17114699,amyotrophic lateral sclerosis
ANG,Rs17114699,Irish
ANG,Rs17114699,Swedish
ANG,Rs17114699,Polish
ANGPTL3,Rs267606655,coron
ANGPTL3,Rs267606655, artery disease
ANO5,Rs137854529,limb-girdle muscular dystrophy
ANO5,Rs137854521,limb-girdle muscular dystrophy
AOC1,Rs2052129,Caucasian
AOC1,Rs2052129,hypersensitivity to ibuprofen
APOA2,Rs5082,obesity
APOA2,Rs5082,heart disease
APOA2,Rs5082,obesity
APOA2,Rs5082,Body Mass Index 
APOA2,Rs5082,heart disease 
APOA2,Rs5082,fat 
APOA2,Rs5082,"ages 4, 7 and 10"
APOB,Rs693,and LDL-Cholesterol
APOB,Rs693,Elevated Apolipoprotein B
APOC3,Rs2542052,longevity
APOM,Rs3117582,lung cancer 
APOM,Rs3117582,lung cancer
APP,Rs63750851,early-onset Alzheimer's disease
ARMS2,Rs3750848,macular degeneration
ARMS2,Rs3750848,macular degeneration
ARMS2,Rs3750848,age-related macular degeneration
ARMS2,Rs3750848,age-related macular degeneration
ARMS2,Rs3750848,age-related macular degeneration
ARMS2,Rs3750848,polypoidal choroidal vasculopathy
ASAP1,Rs3057,perfect pitch
ASL,Rs752100894,argininosuccinate lyase deficiency
ASTN2,Rs4838255,schizophrenic
ATM,Rs1800057,breast cancer.
ATM,Rs1800057,radio-sensitivity
ATM,Rs1800057,post-lumpectomy
ATM,Rs1800057,radiotolerant prostate brachytherapy
ATM,Rs1800058,breast cancer
ATM,Rs1800058,breast tumour 
ATM,Rs1800058,breast cancer
ATP7A,Rs2227291,X-inactivation in female human embryonic stem cells
ATP7A,Rs2227291,prone to epigenetic alterations
ATR,Rs2227928,pancreatic cancer
ATR,Rs2227928,pancreatic cancer
BACE1,Rs638405,increased risk for late-onset Alzheimer's disease
BAK1,Rs513349,rheumatic diseases
BAK1,Rs5745582,rheumatic diseases
BARD1,Rs6435862,aggressive neuroblastoma
BCR,Rs2267015,depression
BDNF,Rs7124442,anorexia
BDNF,Rs7124442,bulimia
BDNF,Rs7124442,elderly population.
BHMT,Rs617219,patient's attention levels.
BLOC1S3,Rs2159324,LDL 
BLOC1S3,Rs2159324,cholesterol
BLOC1S3,Rs2159324,cholesterol
BMP2,Rs235754,bone density
BMP2,Rs235754,bone fractures or osteoporosis
BRCA1,Rs80357880,breast cancer
BRCA1,Rs80357848,breast cancer
BRCA1,Rs80357829,breast cancer
BRCA1,Rs80357786,BRCA1 gene
BRCA1,Rs80357786,breast cancer
BRCA1,Rs80357717,breast cancer
BRCA1,Rs80357635,breast cancer
BRCA1,Rs80357624,breast cancer
BRCA1,Rs80357597,breast cancer
BRCA1,Rs80357558,pathogenic for breast cancer
BRCA1,I4000377,breast cancer
BRCA1,Rs80357405,pathogenic for breast cancer
BRCA1,Rs80357382,breast cancer
BRCA1,Rs80357161,breast cancer
BRCA1,Rs80357071,breast cancer
BRCA1,Rs273897659,breast cancer 
BRCA1,I4000377,ovarian cancer
BRCA1,I4000377,breast cancer
BRCA1,I4000377,ovarian cancer
BRCA1,Rs80357405,breast cancer
BRCA2,Rs11571833,breast cancer
BRCA2,Rs1799954,increased risk for breast cancer
BRCA2,Rs11571833,increased risk for breast cancer
BRCA2,Rs4987047,increased risk for breast cancer
BRCA2,Rs1799954,breast cancer
BRCA2,Rs11571746,breast cancer
BRCA2,Rs4987047,breast cancer
BRCA2,I5009090,breast cancer
BRCA2,I5005579,breast cancer
BRCA2,I5005578,breast cancer
BRCA2,I5005576,breast cancer
