gene,snp,snippet
AANAT,Rs3760138,autism
AANAT,Rs3760138,autism
ABCA1,Rs2230808,brain changes
ABCA1,Rs2230808,Alzheimer's disease
ABCA1,Rs2230808,CSF cholesterol levels
ABCA1,Rs2230808,cerebrospinal fluid
ABCA1,Rs2230808,ischaemic stroke
ABCA1,Rs2230808,HDL cholesterol levels
ABCA1,Rs2230808,dementia
ABCA1,Rs2230808,schizophrenia
ABCA1,Rs2230808,brain changes
ABCA1,Rs2297404,Alzheimer's disease
ABCA1,Rs2297404,rs2297404
ABCA1,Rs2297404,rs2230808
ABCA1,Rs2297404,rs2020927 
ABCA1,Rs2297404,haplotype1 
ABCA1,Rs2297404,TGG
ABCA1,Rs4149268,0.82mg/dl increase in HDL cholesterol
ABCA1,Rs4149268,increase in HDL cholesterol
ABCA1,Rs4149268,good cholesterol
ABCA1,Rs2230808,schizophrenia 
ABCA1,Rs2230808,dementia
ABCA1,Rs2230808,ABCA1 polymorphisms
ABCA1,Rs2230808,Alzheimer's disease
ABCA1,Rs1800977,polymorphism
ABCA1,Rs1800977,therothrombotic cerebral infarction
ABCA1,Rs2020927,Alzheimer's disease
ABCA1,Rs2020927,atherogenic dyslipidaemia
ABCA1,Rs2230808,ischaemic stroke
ABCA1,Rs2230806,coronary artery disease
ABCA1,Rs2230806,HDL-C
ABCA1,Rs2230806,coronary artery disease 
ABCA1,Rs2230806,Alzheimer's disease
ABCA1,Rs2020927,Type 2 diabetes
ABCA1,Rs2230806,Alzheimer's disease
ABCA1,Rs2230806,ischaemic stroke
ABCA1,Rs2230806,dementia
ABCA1,Rs2230806,postprandial lipoproteins
ABCA1,Rs2230806,hyperlipidemic 
ABCA1,Rs2230808,Alzheimer's disease
ABCA1,Rs2230808,Alzheimer's disease
ABCA1,Rs2230808,ABCA1 polymorphisms
ABCA1,Rs2230806,Alzheimer's disease
ABCA12,Rs28940271,congenital Lamellar ichthyosis
ABCA12,Rs28940271,skin condition
ABCA12,Rs28940271,Lamellar ichthyosis
ABCA12,Rs28940271,recessive SNP
ABCA12,Rs28940271,skin condition
ABCA12,Rs28940568,recessive SNP
ABCA12,Rs28940568,skin condition
ABCA12,Rs28940568,Lamellar ichthyosis
ABCA12,Rs28940568,skin condition
ABCA12,Rs28940270,skin condition
ABCA12,Rs28940568,congenital Lamellar ichthyosis
ABCA12,Rs28940270,recessive SNP
ABCA12,Rs28940268,Lamellar ichthyosis
ABCA12,Rs28940270,skin condition
ABCA12,Rs28940270,congenital Lamellar ichthyosis
ABCA12,Rs28940269,skin condition
ABCA12,Rs28940269,recessive SNP
ABCA12,Rs28940269,Lamellar ichthyosis
ABCA12,Rs28940269,skin condition
ABCA12,Rs28940269,congenital Lamellar ichthyosis
ABCA12,Rs28940268,skin condition
ABCA12,Rs28940268,recessive SNP
ABCA12,Rs28940268,skin condition
ABCA12,Rs28940268,congenital Lamellar ichthyosis
ABCA12,Rs28940270,Lamellar ichthyosis
ABCA7,Rs3764650,Alzheimer's 
ABCA7,Rs3764650,disease 
ABCA7,Rs200538373,late-onset Alzheimer's disease
ABCA7,Rs3764650,Alzheimer's disease
ABCA7,Rs200538373,loss-of-function ABCA7 mutations
ABCA7,Rs200538373,late-onset Alzheimer's disease 
ABCA7,Rs200538373,Alzheimer's disease
ABCA7,Rs200538373,Alzheimer's disease
ABCB1,Rs1128503,allogeneic hematopoietic stem cell transplantation
ABCB1,Rs1128503,myeloid leukemia
ABCB1,Rs1128503,functional polymorphism (C3435T) of the gene encoding P-glycoprotein
ABCB1,Rs1128503,major depressive disorder
ABCB1,Rs2032582,lung cancer
ABCB1,Rs2032582,squamous cell carcinoma
ABCB1,Rs2235035,colorectal cancers
ABCB1,Rs2235035,Crohn disease
ABCB1,Rs2235035,ulcerative colitis
ABCB1,Rs2235035,colorectal cancers
ABCB1,Rs2235035,refractory Crohn disease
ABCB1,Rs2235035,ulcerative colitis
ABCB1,Rs1128503,cancer
ABCB1,Rs2032582,Crohn's disease
ABCB1,Rs1128503,nephrotic syndrome
ABCB1,Rs1128503,major depressive disorder
ABCB1,Rs1128503,Pazopanib-induced hyperbilirubinemia
ABCB1,Rs1128503,Gilbert's syndrome
ABCB1,Rs1128503,opiate dependence
ABCB1,Rs1128503,requiring the 'higher' methadone dose
ABCB1,Rs1128503,dementia
ABCB1,Rs1128503,age-matched non-demented control patients
ABCB1,Rs1128503,addictive diseases
ABCB1,Rs1128503,childhood acute lymphoblastic leukemia
ABCB1,Rs1128503,ABCB1 polymorphisms
ABCB1,Rs1128503,liver transplant
ABCB1,Rs1128503,major depression
ABCB1,Rs1128503,antidepressant response
ABCB1,Rs1128503,ciclosporin exposure
ABCB1,Rs1128503,drug-refractory epilepsy
ABCB4,Rs45575636,cholestasis of pregnancy
ABCB4,Rs58238559,atrial fibrillation/flutter
ABCC2,Rs717620,nonalcoholic fatty liver disease
